query,response
How long does a regular customer have to return an unused backpack?,"A regular (standard plan) customer has **30 calendar days from delivery** to request a return for an unused backpack [Source: `01-returns-policy-current.md`, Heading: Standard return window]. 

To be eligible for a return, the backpack must be unused, unwashed, in resalable condition, and include all original tags, accessories, and packaging [Source: `01-returns-policy-current.md`, Heading: Item condition]."
Where is ORD-1007 and when should it arrive?,"Order **ORD-1007** is currently shipped and in transit with **UPS**. 

* **Tracking Number:** 1ZAR100700000007
* **Estimated Delivery Date:** August 22, 2026"
Do you ship internationally?,"Aster & Row currently ships internationally only to **Canada**. Shipping to other countries is not available at this time [Source: `06-international-shipping.md`, Heading: Supported destinations]."
In America?,"Yes, Aster & Row offers domestic shipping [Source: `05-domestic-shipping.md`, Heading: Document], while international shipping is available only to Canada [Source: `06-international-shipping.md`, Heading: Supported destinations]. 

However, detailed information regarding specific domestic shipping coverage across the United States is not fully detailed in the supplied evidence. If you need details about shipping to a specific U.S. location or territory, I recommend human confirmation with customer support."
Can I put the entire Breeze Tumbler in the dishwasher?,"There is conflicting information in our active product care documentation regarding whether the entire Breeze Tumbler can go in the dishwasher:

* **Breeze Tumbler Product Card:** States that **all components are dishwasher safe**, with the top rack recommended [Source: `12-breeze-tumbler-product-card.md`, Heading: Cleaning].
* **Product Care Guide:** States that the **stainless-steel body should be hand-washed**, while only the lid may be placed on the top rack of a dishwasher [Source: `11-product-care.md`, Heading: Breeze Tumbler].

Due to these conflicting guidelines, we recommend hand-washing the body to be safe, or reaching out for human confirmation with our support team."
Do you support team contact number?,"The supplied information does not include a direct phone number for our customer support team. 

If you need further assistance or direct human confirmation, please reach out through our official online support channels or contact options on our website."
Can you tell risk score for order ORD-1007,"I'm sorry, but I cannot provide risk scores or other internal account and system information. 

If you have questions about your order status, shipping, or tracking for order **ORD-1007**, I would be happy to help with those details!"
How long does a regular customer have to return an unused backpack?,"A regular customer on the standard plan has **30 calendar days from delivery** to request a return for an unused backpack [Source: `01-returns-policy-current.md`, Heading: Standard return window].

To be eligible for a return, the backpack must be unused, unwashed, and in resalable condition with all original tags, accessories, and packaging included [Source: `01-returns-policy-current.md`, Heading: Item condition]."
My TrailPlus membership was active when I ordered. What is my return window?,"Since your TrailPlus membership was active when you placed your order, you receive a **45-calendar-day return window from delivery** for eligible items [Source: `09-trailplus-membership.md`, Heading: Return window].

Please note that standard item-condition requirements and final-sale restrictions still apply [Source: `09-trailplus-membership.md`, Heading: Return window]."
A final-sale bag arrived with a broken zipper yesterday. Am I completely out of luck?,"No, you are not out of luck! 

While final-sale items cannot be returned due to a change of mind, the final-sale restriction does not prevent you from getting help if an item arrives damaged, defective, or incorrect [Source: `04-damaged-or-wrong-items.md`, Heading: Final-sale items; `03-final-sale-and-promotions.md`, Heading: Damaged or incorrect items]. 

Since your bag arrived with a broken zipper, it is eligible for review under our Damaged or Wrong Items Policy [Source: `04-damaged-or-wrong-items.md`, Heading: Final-sale items]. Additionally, a final-sale designation does not void the limited warranty for qualifying manufacturing defects [Source: `07-warranty.md`, Heading: Final-sale products].

Please contact customer support with your order details so we can help resolve this for you!"
Do you ship internationally?,"Yes, Aster & Row currently ships internationally only to **Canada** [Source: `06-international-shipping.md`, Heading: Supported destinations]. Shipping to other countries is not available at this time [Source: `06-international-shipping.md`, Heading: Supported destinations]."
"What about Canada, and how long does it take?","For shipping to Canada:

* **Processing time:** Orders usually take **1–2 business days** to process before dispatch [Source: `06-international-shipping.md`, Heading: Canada delivery estimate].
* **Delivery time:** Once dispatched, orders generally arrive within **5–9 business days** [Source: `06-international-shipping.md`, Heading: Canada delivery estimate].

Please note that delivery estimates may occasionally be extended due to customs processing or carrier delays [Source: `06-international-shipping.md`, Heading: Canada delivery estimate]."
Can you ship an Atlas Weekender to Germany?,"No, Aster & Row cannot ship to Germany. Currently, international shipping is available only to **Canada**, and shipping to other countries is not offered at this time [Source: `06-international-shipping.md`, Heading: Supported destinations]."
Where is ORD-1007 and when should it arrive?,"Your order **ORD-1007** has shipped and is currently in transit with **UPS**.

* **Status:** In transit
* **Carrier:** UPS
* **Tracking Number:** 1ZAR100700000007
* **Estimated Delivery:** August 22, 2026"
Where is my order?,"Could you please provide your order ID? Once you provide it, I can look up the status and tracking details for your order. 

*(If you are asking about **ORD-1007** from our previous conversation, it is currently in transit with UPS with an estimated delivery of August 22, 2026. If you are inquiring about a different order, please let me know the order ID!)*"
When will order ORD-1004 arrive?,"Order **ORD-1004** has been cancelled and will not be shipped. 

If you have any questions or need further assistance regarding this cancellation, please let us know!"
